"RegionID","RegionName","SizeRank","1996-04","1996-05","1996-06","1996-07","1996-08","1996-09","1996-10","1996-11","1996-12","1997-01","1997-02","1997-03","1997-04","1997-05","1997-06","1997-07","1997-08","1997-09","1997-10","1997-11","1997-12","1998-01","1998-02","1998-03","1998-04","1998-05","1998-06","1998-07","1998-08","1998-09","1998-10","1998-11","1998-12","1999-01","1999-02","1999-03","1999-04","1999-05","1999-06","1999-07","1999-08","1999-09","1999-10","1999-11","1999-12","2000-01","2000-02","2000-03","2000-04","2000-05","2000-06","2000-07","2000-08","2000-09","2000-10","2000-11","2000-12","2001-01","2001-02","2001-03","2001-04","2001-05","2001-06","2001-07","2001-08","2001-09","2001-10","2001-11","2001-12","2002-01","2002-02","2002-03","2002-04","2002-05","2002-06","2002-07","2002-08","2002-09","2002-10","2002-11","2002-12","2003-01","2003-02","2003-03","2003-04","2003-05","2003-06","2003-07","2003-08","2003-09","2003-10","2003-11","2003-12","2004-01","2004-02","2004-03","2004-04","2004-05","2004-06","2004-07","2004-08","2004-09","2004-10","2004-11","2004-12","2005-01","2005-02","2005-03","2005-04","2005-05","2005-06","2005-07","2005-08","2005-09","2005-10","2005-11","2005-12","2006-01","2006-02","2006-03","2006-04","2006-05","2006-06","2006-07","2006-08","2006-09","2006-10","2006-11","2006-12","2007-01","2007-02","2007-03","2007-04","2007-05","2007-06","2007-07","2007-08","2007-09","2007-10","2007-11","2007-12","2008-01","2008-02","2008-03","2008-04","2008-05","2008-06","2008-07","2008-08","2008-09","2008-10","2008-11","2008-12","2009-01","2009-02","2009-03","2009-04","2009-05","2009-06","2009-07","2009-08","2009-09","2009-10","2009-11","2009-12","2010-01","2010-02","2010-03","2010-04","2010-05","2010-06","2010-07","2010-08","2010-09","2010-10","2010-11","2010-12","2011-01","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08","2017-09","2017-10","2017-11","2017-12","2018-01","2018-02","2018-03","2018-04","2018-05","2018-06","2018-07","2018-08","2018-09","2018-10","2018-11","2018-12","2019-01","2019-02","2019-03","2019-04","2019-05","2019-06","2019-07","2019-08","2019-09","2019-10","2019-11","2019-12","2020-01"
102001,"United States",0,106235,106377,106544,106709,106919,107132,107386,107634,107903,108086,108317,108566,108889,109216,109523,109853,110147,110458,110735,111084,111467,112037,112563,113068,113409,113778,114157,114565,115025,115544,116100,116578,117003,117368,117840,118363,118980,119571,120240,120921,121541,122097,122649,123310,124003,124721,125432,126147,126878,127609,128317,129024,129775,130564,131360,132175,133020,133857,134635,135406,136188,136979,137743,138490,139247,140011,140788,141535,142268,143000,143765,144547,145326,146117,146949,147824,148718,149605,150518,151464,152442,153404,154351,155281,156217,157160,158078,159006,159993,161071,162200,163328,164453,165645,166940,168319,169702,171166,172700,174327,175926,177519,179095,180693,182365,184082,185803,187493,189265,191054,192921,194807,196717,198623,200425,202148,203702,205089,206349,207576,208739,209809,210698,211389,211908,212224,212450,212592,212673,212738,212754,212715,212584,212274,211817,211205,210616,209915,209130,208160,207140,205949,204530,202925,201190,199497,197787,196090,194255,192498,190730,188909,187023,185189,183652,182170,180728,179316,178105,177169,176388,175717,175194,174979,174883,174819,174622,174475,174440,174361,174080,173400,172586,171645,170723,169696,168732,167771,166862,165905,164883,163862,162979,162368,161924,161594,161232,160911,160598,160391,160263,160336,160570,160955,161365,161825,162340,162932,163619,164410,165274,166240,167257,168378,169544,170775,172061,173381,174704,175988,177202,178297,179310,180257,181171,181894,182489,183025,183619,184202,184710,185208,185791,186501,187246,187959,188694,189549,190437,191335,192135,192928,193772,194649,195504,196279,197133,198063,199017,199862,200742,201637,202609,203601,204606,205617,206636,207726,208788,209831,210852,211954,213116,214270,215426,216528,217653,218821,220049,221308,222545,223724,224942,226185,227446,228649,229776,230867,231904,232874,233773,234640,235486,236301,237027,237700,238348,239027,239738,240490,241256,242034,242819,243584,244366,245193
394913,"New York, NY",1,186510,186193,185903,185726,185633,185678,185801,185926,186072,186346,186955,187670,188341,188837,189458,190080,190701,191216,191725,192444,193266,194165,194765,195234,195653,196187,196765,197336,198134,199130,200351,201437,202582,203533,204707,205955,207557,209301,211136,213206,215032,216826,218420,220257,222160,224209,226440,228844,231237,233531,235831,238183,240559,242948,245320,247740,250112,252472,254943,257371,259915,262393,264923,267298,269695,272152,274927,277710,280494,283314,285996,288573,291171,293895,296875,299970,303638,307532,311439,315172,319065,322933,326909,331080,335052,338901,342481,346128,349484,352529,355423,358487,361647,365217,368774,372491,376018,379947,384067,388593,393102,397837,402606,407433,411964,416319,420455,424613,429403,434249,439042,443501,448142,452985,457969,462615,467229,471159,474918,477533,479753,481485,483407,484734,485118,484680,483300,481775,480008,478421,477096,476836,476257,475807,474118,472467,470775,469040,467899,466602,465157,463725,461868,459382,456741,453119,450006,446674,443924,440981,437645,434106,430694,426847,423012,419388,415961,413348,410489,407983,405327,403545,402422,401959,401729,401648,401711,401243,401032,400593,401006,401270,401392,400784,399577,398015,396130,394747,393466,392714,391301,389757,387580,385711,384038,382617,381315,379861,378642,377279,375941,374671,373742,373202,373012,372840,372751,372718,372821,373329,374053,374767,375650,376561,377998,379569,381184,382911,384640,386506,388524,390481,392200,394089,395749,397585,398851,400063,401080,401978,402904,403733,404478,404930,405705,406497,407651,408384,409356,410155,411257,412185,413055,413964,414910,416359,417492,418257,418875,419709,421017,422079,423120,424228,425538,426902,428365,429787,431400,433326,434940,436716,437964,440217,442491,445293,447777,450089,452102,453846,455519,457527,459931,462408,464864,466740,468419,469479,470696,472245,474122,475932,477137,477645,477904,478162,478574,478893,479278,479805,480256,480436,480397,480440,480855,481486
753899,"Los Angeles-Long Beach-Anaheim, CA",2,183861,183835,183862,183961,183914,183801,183705,183683,183807,183480,182918,182590,182791,183309,183783,184398,185288,186291,187255,188153,189166,190844,192927,194871,196314,197661,198942,199947,201282,202947,204808,206609,208045,209766,211286,212928,214376,215839,217848,220014,221500,222620,223914,225814,227790,229462,231129,233039,235238,237535,239665,241763,244095,246425,248639,250727,252983,255146,257439,259602,262092,264340,266577,268522,270637,272897,275551,278037,280707,283442,286546,289826,293319,296836,300917,305643,310658,315546,320472,325870,331291,336231,340662,345134,349512,354308,358424,363659,369505,376256,382316,389304,396308,404668,413160,422207,432009,443042,454504,464260,472412,480454,488697,495662,502615,509090,516937,524731,532318,538541,544790,552918,561757,571270,580223,587602,594532,600277,605371,609807,613659,618207,621390,622673,623835,622235,621607,620289,620209,619518,618325,616517,615144,612316,609670,604745,598460,590253,581801,575295,568120,560747,550225,538848,524978,511144,499090,488666,479457,472394,464962,456131,444794,436491,432153,428940,425733,422913,420327,419159,419186,420166,421569,424147,428106,429205,427752,427486,429488,433160,432536,430374,426879,424093,421119,417003,414248,412855,412457,410408,407496,402393,401010,399966,399039,396313,393659,393284,392336,391148,389564,388851,388872,390476,392080,394714,397470,401290,406323,410508,416017,421394,429705,438593,448480,457102,465515,472920,481608,489265,495160,500215,503736,507856,508684,509136,508627,509113,509600,511148,510919,511410,512050,514891,517475,520866,524840,528985,531327,533836,536374,539050,542136,545354,549202,551822,556341,558803,562065,563847,567904,571407,574542,577238,580772,584622,588356,591118,592828,596360,599059,602813,605151,608849,612537,615881,618721,621526,624542,629532,634586,638877,643296,647820,652163,654259,656204,657913,659049,659010,659702,660474,660333,659551,657694,656398,655766,656314,657125,658488,660447,663385,665860,667785,670839,674786
394463,"Chicago, IL",3,158677,158087,157768,157302,157857,158655,160275,161553,162497,162776,162726,162884,162746,162914,162657,162361,160017,157139,152941,149700,147363,146512,146409,146351,146334,146275,146203,146525,147914,149928,152562,154804,156513,157302,157763,158238,158887,159437,160365,161352,162300,162917,163622,164492,165423,166600,167808,169037,170130,171211,172255,173263,174391,175627,176868,178153,179485,180783,181883,183007,184205,185569,186847,187983,189091,190252,191557,192830,193985,195000,196095,197352,198429,199581,200697,202123,203471,204758,205959,207005,208259,209487,210889,212123,213491,214613,215636,216580,217746,219120,220446,221808,222991,224427,225724,227062,228471,229990,231781,233437,235080,236462,237961,239612,241419,243041,244714,246354,248148,249938,251838,253707,255484,257442,259365,261108,262684,264073,265520,266706,267934,268952,269807,270404,271065,271530,271923,272111,272466,272999,273729,273503,273257,272091,271712,270603,270130,269012,268332,267489,266514,265630,262888,262150,259078,258353,254927,253587,250312,248570,245423,242899,239143,235195,232258,228992,226984,224040,222022,220238,218848,216865,215336,213906,213773,213163,213012,211356,211151,209593,209561,206838,205463,203237,202100,199730,197770,195772,194234,192873,190661,189293,187124,186754,185468,184879,182687,181708,179939,179043,177091,176734,176190,176199,175608,174755,174020,173403,173859,174552,175281,176221,177432,178244,179450,180354,182098,183727,185952,187838,189987,191084,192501,193269,194523,195064,195265,195733,196642,197604,198070,198726,199060,199741,200181,200617,200737,201379,202473,203455,203661,203859,204119,204496,204782,205162,205775,206509,207724,208688,209460,210032,210856,211953,212959,213773,214560,215562,216668,217935,218991,220317,221468,222476,223116,223595,224311,225198,226363,227439,228635,229775,230590,231027,231463,232088,232992,233690,234369,235084,235680,236243,236502,236546,236749,237043,237490,237847,238081,238437,238648,238736,238736,238716,238794,238978
394514,"Dallas-Fort Worth, TX",4,111805,112148,112395,112571,112791,113011,113346,113673,114002,114060,114151,114179,114345,114438,114632,114860,115110,115404,115741,116023,116376,116826,117273,117633,117741,117963,118211,118596,118943,119304,119228,119227,119140,119725,120494,121477,122424,123226,124058,124804,125322,125660,126341,127169,127966,128277,128604,128848,129089,129268,129438,129626,129921,130367,130821,131223,131608,131846,131675,131496,131399,131581,131600,131672,131884,132105,132256,132297,132442,132650,133070,133429,133920,134372,135068,135763,136360,136842,137277,137781,138316,138560,138577,138362,138279,138363,138610,138857,139087,139387,139806,140234,140553,141280,142628,144595,146176,147056,147395,147705,148170,148614,149102,149512,150013,150760,150999,150997,150804,151026,151448,151870,152285,152642,152588,152730,152712,152963,153435,153876,154326,154713,155138,155400,155474,155592,156226,156629,157060,157054,156989,156961,157103,157334,157510,157666,158030,158547,158875,159002,159016,158360,157346,156079,155224,154511,153997,153683,153216,152429,151475,150581,149911,149778,150102,150531,150616,150568,150336,150260,150156,150304,150458,151025,151333,151378,151149,150922,151048,150949,150904,150205,149497,148562,147877,147002,146526,146192,145643,145038,144128,143591,142947,142780,142783,143011,143086,142985,142665,142494,142929,143475,144088,144469,144975,145563,146084,146550,146973,147604,148315,149188,149808,150615,151480,152532,153587,154724,155847,157141,158433,159726,160883,161789,162779,163610,164450,165240,166195,166901,167921,168820,170051,171217,172502,174010,175454,177108,178714,180392,182046,183789,185302,186735,188074,189572,191234,192784,194344,195851,197543,199376,201116,203054,204715,206427,208036,209831,211673,213301,215034,216536,218276,219886,221550,222982,224408,226065,227891,229603,231033,232346,233979,235831,237578,238998,240398,241627,242797,243500,244440,245370,246657,247740,248515,249034,249459,250079,250605,251223,251846,252578,252940,253189,253169,253299
394974,"Philadelphia, PA",5,118632,118470,118376,118332,118310,118351,118436,118564,118668,118797,118963,119188,119437,119683,119914,120114,120269,120380,120463,120585,120760,120950,121145,121330,121474,121546,121595,121671,121912,122193,122532,122726,122927,123094,123335,123627,123983,124383,124791,125254,125624,125980,126299,126848,127515,128260,128984,129579,130179,130733,131327,131843,132346,132891,133522,134103,134702,135313,136034,136826,137599,138364,139109,139939,140755,141603,142431,143419,144294,145261,146198,147332,148499,149662,150874,152077,153517,155057,156734,158273,159986,161624,163347,164914,166579,168251,169924,171617,173262,175035,176817,178732,180428,182157,183961,185986,188068,190252,192552,195034,197668,200131,202340,204448,206845,209560,211994,214229,216331,218747,221345,224003,226634,229238,231954,234538,236984,238952,240798,242370,243996,245318,246541,247486,248264,248839,249184,249368,249388,249489,249539,249800,249843,250215,250336,250533,250263,249999,249778,249557,249212,248530,248066,247405,246792,245522,244108,242530,241163,239813,238329,236869,235445,234141,232976,232051,231202,230282,229346,228459,227884,227518,227579,227826,227962,228058,227734,227308,226912,226897,227000,226762,225934,224699,223161,221474,219992,218746,217827,216721,215294,213589,211948,210695,209843,209051,208318,207557,206923,206068,205184,204575,204311,204049,203564,202986,202586,202417,202347,202378,202407,202638,202851,203178,203664,204423,205331,206234,206974,207725,208346,208940,209311,209749,210210,210437,210217,210122,210202,210449,210410,210355,210453,210716,211110,211338,211535,211912,212493,212831,212905,213015,213393,213759,213892,213929,213893,214012,214281,214535,214946,215412,216247,216943,217634,218208,218930,219644,220540,221518,222307,222846,223330,224031,224758,225373,226072,226855,227938,228917,229868,230594,231618,232839,234158,235128,235932,236667,237370,238209,238920,239826,240528,241295,241851,242442,242937,243585,244272,245094,245884,246543,247117,247589,248194,248836
394692,"Houston, TX",6,108973,109112,109210,109248,109307,109472,109663,109930,110216,110181,110024,109886,109965,110057,110224,110452,110691,110850,111021,111258,111493,112143,112757,113391,113597,113849,114090,114387,114653,114927,115209,115233,115236,115356,115979,116852,117726,118510,119232,119961,120656,121198,121655,122161,122743,123254,123496,123542,123680,123737,123876,123968,124252,124573,124828,125276,125703,125904,125890,125522,125337,125311,125452,125589,125452,125524,125719,125937,126077,126222,126487,127032,127654,128227,128748,129223,129894,130425,130890,131238,131571,131980,132189,132283,132357,132466,132795,132990,133348,133563,133897,134195,134567,135084,136069,137503,138652,139819,140320,141279,141905,142821,143613,144362,145194,145896,146547,146831,147097,147058,147340,147388,147498,147432,147341,147496,147507,147773,147902,148236,148506,149027,149456,149970,150489,151128,151816,152372,152954,153441,153651,153668,153823,154169,154661,154880,155323,155706,156071,156331,156590,156392,155983,155436,155098,154528,153898,153408,152851,152275,151769,151028,150176,149546,149523,149564,149474,149432,149673,150138,150461,150538,150342,150502,150775,150968,150996,151245,151501,151553,151088,150081,148873,147988,147466,147235,146882,146401,145619,144507,143558,142783,142388,142219,142275,142298,142321,141769,141456,141351,141649,142026,142221,142547,142809,143293,143762,144177,144389,144983,145591,146423,147271,148622,150200,151712,152958,154163,155416,156769,158274,159765,161158,162469,163774,164718,165551,166356,167661,169123,170838,172509,173986,175313,176687,178017,179241,180640,182059,183408,184458,185188,185816,186453,187383,188098,188731,189565,190381,190906,191139,191686,192336,193145,193624,194062,194352,195128,196023,196523,197074,197750,198569,199066,199509,199922,200266,200655,201089,201620,202117,202658,203144,203807,204931,206046,206893,207494,208389,209383,210152,210639,211079,212029,212964,213671,213874,214157,214632,215245,215687,215980,216383,216797,217177,217159
395209,"Washington, DC",7,177005,176887,176735,176572,176465,176487,176622,176680,176748,176531,176407,176229,176325,176278,176352,176500,176622,176565,176473,176541,176621,177016,177384,177868,178047,178235,178344,178456,178641,178937,179140,179300,179583,180100,180865,181600,182332,183001,183779,184571,185278,186093,187008,188156,189192,190223,191128,192035,192934,193991,195129,196485,197965,199502,201171,202834,204760,206617,208457,210374,212500,214715,216875,218938,221060,223232,225449,227849,230270,232767,235131,237592,240164,242938,245819,248810,251969,255042,258104,261076,264159,267163,270458,273757,276956,279815,282670,285469,288354,291451,295180,299178,303082,306851,311109,315622,320473,325564,331359,337980,344877,351963,358189,364167,370161,376915,383238,389483,396228,403833,411414,418266,424488,430815,437179,442614,447436,451320,455104,458622,460820,462105,462331,462293,461684,459432,456835,454891,453661,452346,450816,449309,448143,446389,443608,440371,437052,434693,431602,427753,422680,417992,413000,407328,400919,393728,387412,381368,376133,370779,365938,361406,357143,352185,347637,343438,340024,337819,336456,335701,334826,333824,333321,333481,334370,335636,335982,336705,337496,338811,338841,338324,337437,337123,336502,335088,333715,332765,333010,332614,332139,330866,330412,329756,329524,328918,328458,328491,328406,328253,328214,329169,330326,331574,332914,334656,336253,337519,339160,341178,343652,346265,348349,350168,351976,354512,356882,359220,361712,364824,367546,369849,371320,372845,374310,375498,376460,376533,376573,376714,376881,377001,376937,377014,377133,376873,377353,378109,378555,378799,379080,379561,379848,379962,380475,380897,381635,382223,381986,381957,382721,384566,385934,386956,387733,388964,389919,390994,392348,394275,396541,397812,398610,398624,399441,400441,402093,403433,404888,406364,407172,407751,408235,409644,411293,413298,414975,416559,417333,417840,418164,418471,419547,420901,422645,423956,424848,425647,426395,427167,428266,429603,431035,432410,433411,434156
394856,"Miami-Fort Lauderdale, FL",8,110987,111203,111515,111827,112091,112202,112315,112476,112678,112589,112575,112582,112919,113215,113447,113658,113886,114138,114316,114490,114707,115477,116113,116662,116675,116806,116651,116572,116630,117244,117984,118552,118915,118975,119093,119226,119578,119984,120853,121638,122329,122418,122538,122834,123239,123779,124409,125211,126054,126736,127337,127924,128510,129266,130024,130950,131953,132989,134065,135265,136533,137985,139414,141049,142770,144672,146657,148490,150162,151716,153248,154649,156130,157601,159231,160896,162717,164413,166118,167823,170007,172213,174564,176875,179264,181484,183470,185318,187189,189327,191609,194166,196417,199049,201556,204250,206739,209669,212906,216386,220106,223950,228048,232120,236655,241000,245795,250678,255660,260912,266485,272901,279185,285386,290963,296041,300646,305445,309594,314224,319307,324040,327759,329904,331473,332472,332737,333422,333289,333112,332176,330595,327694,324331,320382,316522,312570,308558,305050,300392,295765,289569,283629,276918,270885,264783,259205,253107,246557,239734,232737,226256,220395,215061,210061,205041,200402,195929,192353,189298,186879,184695,183271,182018,180588,179647,178951,178776,178131,177431,176095,174907,173477,172194,170357,168770,167432,165989,164664,163329,162452,161515,160709,159911,159380,158984,158967,159086,159218,159457,159472,159765,160126,160988,162235,163468,164971,166555,168225,169558,171011,172896,175414,178121,181192,184017,186527,189135,191831,194710,197394,200741,203902,206864,208831,210824,212030,213668,215106,217021,218486,219801,221323,222164,223350,224265,226005,227333,228936,230193,231671,232745,234088,235733,237262,239148,240728,242612,244167,245731,247342,248983,251002,253018,254756,256095,257401,258956,260600,262134,263533,264655,266121,267509,268860,270067,271823,273561,275421,276253,277405,278134,279832,281624,283228,284903,286099,287602,288653,289708,290297,291768,293130,294495,294483,294563,294930,295242,295822,296235,296745,297296,298110,298645,299055,299657
394347,"Atlanta, GA",9,120186,120663,121182,121644,122101,122535,123004,123488,124009,124351,124735,125145,125708,126234,126669,127160,127736,128382,129002,129532,130077,130946,131806,132589,133034,133605,134248,134954,135583,136196,136819,137602,138320,138984,139616,140392,141263,142100,142979,143905,144782,145665,146520,147396,148247,149029,149891,150810,151875,152910,153923,154878,155906,156930,158007,158976,160025,161005,161937,162750,163499,164304,165059,165834,166578,167314,167994,168673,169330,169986,170646,171226,171803,172286,172790,173227,173614,173999,174405,174821,175143,175504,175815,176223,176504,176801,177083,177397,177736,178050,178342,178647,179018,179313,179633,179952,180427,180839,181177,181526,181977,182474,182993,183456,183914,184434,184995,185551,186076,186694,187366,187943,188482,189078,189741,190471,191113,191826,192437,192970,193359,193703,194144,194691,195205,195640,195984,196374,196836,197326,197794,198308,198663,198880,198828,198671,198336,197801,197181,196490,195958,195007,193852,192315,191085,189873,188570,187010,185321,183729,181965,179721,176772,173988,171392,169135,166532,164101,162022,160686,159623,158639,157473,156652,156289,155865,155298,154606,154417,154336,153936,152482,150494,148098,146139,144209,142749,141169,139876,138056,136094,133692,131571,130048,129413,129512,129597,129419,128542,128003,127479,127964,128537,129461,130393,131391,131891,131888,132037,132894,134184,135717,137392,139103,140729,142512,144398,146290,148448,150811,153123,155002,156920,158484,159921,160903,161911,162738,163480,164443,165282,166178,166938,167771,168561,169364,170126,170791,171580,172612,173832,174782,175759,176714,177623,178488,179220,180277,181318,182722,184077,185252,186066,186771,187585,188282,189328,190463,191932,192998,194210,195314,196521,197761,199257,200869,202236,203835,205301,206971,208603,210502,212354,213795,215165,216582,218285,219963,221593,223131,224727,226165,227290,228136,228960,230048,231219,232341,233149,233930,234831,235684,236456,237194,238093,239115
